Name ,Address,Latitude,Longitude
FAMILYMART Wisma Lim Foo Yong,"Lot G-01, Ground Floor, Wisma Lim Foo Yong, 86, Jalan Raja Chulan, 50200 Kuala Lumpur",3.1505932,101.7099983
FAMILYMART Mid Valley,"F-027C, Level 1, North Court, Mid Valley Megamall, Mid Valley City, Lingkaran Syed Putra, 59200 Kuala Lumpur.",3.1175628,101.6774073
FAMILYMART MyTown,"Lot No. B1 - 031, Basement 1, Mytown Shopping Centre, No 6, Jalan Cochrane Seksyen 90, 55100 Kuala Lumpur",3.1343589,101.7229622
FAMILYMART Taylor Lakeside,"G-6, Ground Floor, The Broadwalk. No 2, Jalan Taylor's, Subang Jaya, 47500 Selangor",3.0638548,101.6159855
FAMILYMART Sunway Medical Centre,"Lot C-G-R01, Sunway Medical Centre, Tower C, 5 Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor",3.065856,101.608976
FAMILYMART Menara Citibank,"Suite 1.06, Level 1 Menara Citibank, 165 Jalan Ampang, 50450 Kuala Lumpur",3.1599106,101.7174159
FAMILYMART Amcorp Mall,"G-02, Ground Floor, PJ Tower, 18 Persiaran Barat, 46050 Petaling Jaya, Selangor, Malaysia",3.104607,101.6471182
FAMILYMART Intermark,"Lot C-06, Concourse floor, Intermark Mall, 348, Jalan Tun Razak, Kampung Datuk Keramat, 50400 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1613001,101.7199536
FAMILYMART Bandar Sunway,"17, Jalan PJS 11/9, Bandar Sunway, 46150 Petaling Jaya, Selangor",3.0687217,101.6025946
FAMILYMART Subang Jaya Medical Centre,"Lot G1-03, Subang Jaya Medical Centre (North Tower Annex Block), 1 Jalan SS12/1A, 47500 Subang Jaya, Selangor",3.0796503,101.5940275
FAMILYMART Awana Skyway,"Lot No. 2-3, Level 2, Awana Skyway Station, Genting Highlands Resorts, 69000 Genting Highlands, Pahang",3.4235071,101.7939901
"FAMILYMART Bukit Tinggi, Klang","8-00-1, Lorong Batu Nilam 4A, Bandar Bukit Tinggi, 41200 Klang, Selangor",3.0078898,101.4389899
FAMILYMART Summit USJ,"Lot G (0), The Summit USJ, 38, Perisaran Kewajipan, Usj 1, 47600 Subang Jaya",3.0602399,101.593544
FAMILYMART Menara Hap Seng,"Lot G11, Ground Floor, Menara Hap Seng, Jalan P.Ramlee,50250, Kuala Lumpur",3.1523579,101.7074477
FAMILYMART Ikano Power Centre,"Lot LG 1.11, Lower Ground floor, IPC Shopping Centre,  No. 2, Jalan PJU 7/2, Mutiara Damansara, 47800, Petaling Jaya, Selangor",3.1561358,101.6116671
FAMILYMART Sri Petaling,"No 75G, Jalan Radin Bagus, Bandar Sri Petaling, 57000, Kuala Lumpur",3.0710907,101.6949001
FAMILYMART Bangsar South,"Unit UG-3, Level UG, The Sphere, No 1, Avenue 1, Bangsar South, No 8, Jalan Kerinchi, 59200 Kuala Lumpur",3.1107845,101.6676501
FAMILYMART Danau Niaga,"No. 6 Plaza Usahawan Genting Klang (Plaza Crystalville), Jalan Danau Niaga, Taman Danau Kota, 53300, Kuala Lumpur",3.2016719,101.7177432
FAMILYMART Bandar Puteri Puchong,"No 18, Jalan Puteri 1/2, Bandar Puteri, Puchong, 47100, Selangor",3.0262859,101.6159596
FAMILYMART Sri Hartamas,"28(Ground Floor), Jalan 24/70A, Desa Sri Hartamas, 50480, Kuala Lumpur",3.1630565,101.6506835
FAMILYMART Sungai Long,"No 16, Jalan SL 1/2, Bandar Sg Long, 43000, Kajang, Selangor",3.0402027,101.7937601
FAMILYMART PJ Sek. 14,"No. 13 Jalan 14/20, Petaling Jaya, 46100 Selangor Darul Ehsan",3.1095615,101.6363923
FAMILYMART C180 Belakong,"31-G, Jalan C180/1, Dataran C180, 43200 Cheras, Selangor Darul Ehsan",3.0357746,101.7658877
FAMILYMART Kota Kemuning,"No.29-G, Jalan Anggerik Vanilla X 31/X, Kota Kemuning, Seksyen 31, 40460 Shah Alam, Selangor",3.0029526,101.5392774
FAMILYMART Sunway Giza,"Lot G12, Sunway Giza Mall, No.2, Jalan PJU 5/14, PJU 5, Kota Damansara, 47810 Petaling Jaya, Selangor",3.1508511,101.591537
FAMILYMART Oasis Ara Damansara,"R-13, Ara Damansara, Oasis Square, No. 2, Jalan PJU 1A/7A, Petaling Jaya, 47301 Selangor",3.1141554,101.5744568
