peninsular_rank,state,district,population,income_median,kkmart_count,competitor_count,stores_per_100k,saturation_vs_peninsular,saturation_level,headroom_to_par,kkmart_fair_gap,category
11,Johor,Johor Bahru,1814400.0,8977,87,469,30.64,1.189,saturated,-88,0,saturated
39,Johor,Kota Tinggi,234700.0,6284,5,31,15.34,0.595,balanced,24,0,competitive
44,Johor,Batu Pahat,511800.0,7555,9,94,20.13,0.781,balanced,29,6,competitive
52,Johor,Kulai,353000.0,8406,11,70,22.95,0.891,balanced,10,1,competitive
53,Johor,Muar,323900.0,7334,5,61,20.38,0.791,balanced,17,5,competitive
57,Johor,Kluang,335200.0,6158,5,64,20.58,0.799,balanced,17,5,competitive
60,Johor,Pontian,177900.0,5685,4,32,20.24,0.785,balanced,10,1,competitive
62,Johor,Tangkak,169200.0,6374,4,31,20.69,0.803,balanced,9,1,competitive
75,Johor,Segamat,204300.0,6451,2,50,25.45,0.988,balanced,1,6,competitive
77,Johor,Mersing,81400.0,5335,0,19,23.34,0.906,balanced,2,3,competitor_led
2,Pulau Pinang,Timur Laut,565900.0,7745,11,80,16.08,0.624,balanced,55,2,competitive
41,Pulau Pinang,Seberang Perai Tengah,445200.0,6892,7,88,21.34,0.828,balanced,20,7,competitive
42,Pulau Pinang,Barat Daya,249700.0,8919,4,46,20.02,0.777,balanced,14,3,competitive
43,Pulau Pinang,Seberang Perai Utara,353100.0,6810,1,68,19.54,0.758,balanced,22,9,competitive
85,Pulau Pinang,Seberang Perai Selatan,189500.0,6822,1,59,31.66,1.229,saturated,-11,8,saturated
