peninsular_rank,state,district,code_state_district,population,pop_cagr,youth_share,household_total,housing_total,household_size_avg,area_km2,income_year,income_mean,income_median,expenditure_mean,gini,poverty,pop_density,demand_index,n_7-Eleven,n_99 Speedmart,n_FamilyMart,n_KKmart,n_myNEWS,kkmart_count,total_stores,competitor_count,stores_per_100k,kkmart_per_100k,kkmart_share,saturation_ratio,saturation_level,supply_index,whitespace_score,category,region,saturation_vs_peninsular,headroom_to_par,kkmart_fair_gap
1,Selangor,Petaling,10_5,2370600.0,0.0062314135929402,0.4103602463511347,617686.0,679812.0,3.8,487,2024,14422,10688,8210,0.387,1.0,4867.76180698152,0.7882,270,279,64,190,126,190,929,739,39.19,8.01,0.205,1.75,saturated,0.6502,0.138,saturated,Central/East Coast,1.521,-318,0
2,Pulau Pinang,Timur Laut,7_4,565900.0,0.00331960473565,0.4196854567944866,177231.0,205559.0,3.1,126,2024,9993,7745,6416,0.398,0.4,4491.269841269841,0.3873,42,17,10,11,11,11,91,80,16.08,1.94,0.121,0.718,balanced,0.2668,0.1205,competitive,North,0.624,55,2
3,Kelantan,Kecil Lojing,3_11,11700.0,0.0199432292376982,0.4871794871794872,2123.0,2604.0,5.0,1817,2024,3511,3385,2953,0.218,20.0,6.439185470555861,0.1075,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,underserved,0.0,0.1075,low_demand,Central/East Coast,0.0,3,0
4,Kelantan,Kota Bharu,3_2,590100.0,0.0120487071995907,0.4417895271987798,115485.0,133413.0,4.5,403,2024,6180,4729,4329,0.361,9.9,1464.2679900744415,0.2632,55,0,4,0,0,0,59,59,10.0,0.0,0.0,0.446,underserved,0.1659,0.0973,open_whitespace,Central/East Coast,0.388,93,9
5,Kelantan,Pasir Mas,3_4,242700.0,0.0104561239518714,0.4029666254635352,45128.0,54924.0,5.1,570,2024,4975,3591,3581,0.365,8.6,425.7894736842105,0.1376,7,0,0,0,0,0,7,7,2.88,0.0,0.0,0.129,underserved,0.0478,0.0898,open_whitespace,Central/East Coast,0.112,56,1
6,Kelantan,Bachok,3_1,167600.0,0.0127658724447923,0.4397374701670645,31355.0,37058.0,4.9,279,2024,5149,4187,3579,0.349,11.3,600.7168458781362,0.144,6,0,0,0,0,0,6,6,3.58,0.0,0.0,0.16,underserved,0.0594,0.0846,open_whitespace,Central/East Coast,0.139,37,1
7,W.P. Kuala Lumpur,W.P. Kuala Lumpur,14_1,2074100.0,0.0091153815236084,0.4221590087266766,573529.0,634639.0,3.3,243,2022,13325,10234,7823,0.38,1.4,8535.390946502057,0.8184,269,192,57,245,171,245,934,689,45.03,11.81,0.262,2.01,saturated,0.7471,0.0713,saturated,Central/East Coast,1.747,-399,0
8,Kelantan,Tumpat,3_7,191200.0,0.0122582964370527,0.3896443514644351,34817.0,42113.0,5.2,180,2024,4991,3904,4181,0.334,12.7,1062.2222222222222,0.158,10,0,0,0,0,0,10,10,5.23,0.0,0.0,0.234,underserved,0.0868,0.0712,open_whitespace,Central/East Coast,0.203,39,1
9,Terengganu,Marang,11_5,128800.0,0.0201016793353314,0.404503105590062,27759.0,33335.0,4.2,667,2024,6807,6246,5141,0.281,7.3,193.1034482758621,0.1689,7,0,1,0,0,0,8,8,6.21,0.0,0.0,0.277,underserved,0.103,0.0659,open_whitespace,Central/East Coast,0.241,25,1
10,Kelantan,Tanah Merah,3_6,159900.0,0.0117877673891928,0.4183864915572233,30134.0,34696.0,5.0,880,2024,4922,3638,3632,0.363,14.9,181.70454545454547,0.1257,6,0,0,0,0,0,6,6,3.75,0.0,0.0,0.167,underserved,0.0622,0.0635,low_demand,Central/East Coast,0.146,35,1
11,Johor,Johor Bahru,1_2,1814400.0,0.0117808450643399,0.4200837742504409,460669.0,610314.0,3.6,1066,2024,10975,8977,6764,0.35,1.9,1702.063789868668,0.5713,195,199,41,87,34,87,556,469,30.64,4.79,0.156,1.368,saturated,0.5084,0.0629,saturated,South,1.189,-88,0
12,Kelantan,Machang,3_3,117700.0,0.0136236979105059,0.417162276975361,21963.0,25946.0,4.9,526,2024,5237,4156,3411,0.331,7.3,223.76425855513307,0.1136,4,0,0,0,0,0,4,4,3.4,0.0,0.0,0.152,underserved,0.0564,0.0572,low_demand,Central/East Coast,0.132,26,1
13,Selangor,Klang,10_2,1183000.0,0.0167152772790546,0.4191885038038884,263449.0,301407.0,4.1,632,2024,10912,8837,6927,0.299,1.0,1871.8354430379748,0.4588,72,151,17,40,11,40,291,251,24.6,3.38,0.137,1.098,balanced,0.4082,0.0506,competitive,Central/East Coast,0.955,14,2
14,Terengganu,Hulu Terengganu,11_6,74800.0,0.0136426705423657,0.3983957219251337,16907.0,20949.0,4.0,3875,2024,6360,6134,4554,0.255,6.6,19.30322580645161,0.1292,4,0,0,0,0,0,4,4,5.35,0.0,0.0,0.239,underserved,0.0888,0.0404,low_demand,Central/East Coast,0.208,15,1
15,Terengganu,Kuala Nerus,11_8,157500.0,0.0158365543381415,0.4482539682539682,35392.0,38903.0,4.1,398,2024,8385,7304,5498,0.282,1.6,395.7286432160804,0.2021,16,0,0,0,0,0,16,16,10.16,0.0,0.0,0.454,underserved,0.1686,0.0335,open_whitespace,Central/East Coast,0.394,25,2
