rank,state,district,code_state_district,population,pop_cagr,youth_share,household_total,housing_total,household_size_avg,area_km2,income_mean,income_median,expenditure_mean,gini,poverty,pop_density,demand_index,store_count,stores_per_100k,supply_index,whitespace_score,category
1,W.P. Kuala Lumpur,W.P. Kuala Lumpur,14_1,2067500.0,0.0106016178938799,0.4349214026602176,573529.0,634639.0,3.3,243,13325,10234,7823,0.3796,1.4,8508.230452674898,0.8329,0,0.0,0.0,0.8329,prime_whitespace
2,Selangor,Petaling,10_5,2360000.0,0.006666856318185,0.4180084745762711,617686.0,679812.0,3.8,487,12760,9618,7721,0.39198,1.6,4845.99589322382,0.7873,0,0.0,0.0,0.7873,prime_whitespace
3,Johor,Johor Bahru,1_2,1800000.0,0.0127282700901891,0.4171111111111111,460669.0,610314.0,3.6,1066,9869,8232,6139,0.3585,3.7,1688.5553470919324,0.5603,0,0.0,0.0,0.5603,prime_whitespace
4,Selangor,Ulu Langat,10_8,1508100.0,0.0186776006150362,0.4229162522379153,387547.0,431574.0,3.6,833,13386,11210,6289,0.32633,0.5,1810.4441776710685,0.5119,0,0.0,0.0,0.5119,prime_whitespace
5,Selangor,Klang,10_2,1174900.0,0.019185476982106,0.4276959741254574,263449.0,301407.0,4.1,632,10278,8203,6622,0.34658,2.2,1859.018987341772,0.4396,0,0.0,0.0,0.4396,prime_whitespace
6,Selangor,Gombak,10_1,980300.0,0.0099059508959162,0.4205855350402938,222549.0,253148.0,4.2,653,13523,10180,6673,0.39247,2.4,1501.2251148545176,0.3848,0,0.0,0.0,0.3848,prime_whitespace
7,Pulau Pinang,Timur Laut,7_4,569900.0,0.0059209745203543,0.4242849622740832,177231.0,205559.0,3.1,126,8727,6714,5890,0.37972,0.7,4523.015873015873,0.37,0,0.0,0.0,0.37,prime_whitespace
8,Melaka,Melaka Tengah,4_3,630100.0,0.0135393209535241,0.4365973654975401,160155.0,196668.0,3.6,359,8593,6557,6015,0.38301,3.7,1755.1532033426183,0.3199,0,0.0,0.0,0.3199,prime_whitespace
9,Perak,Kinta,8_3,923300.0,0.0095659566686172,0.3917469944763349,244648.0,285237.0,3.5,1305,6308,5037,4383,0.35771,3.8,707.5095785440614,0.3055,0,0.0,0.0,0.3055,prime_whitespace
10,Negeri Sembilan,Seremban,5_5,712700.0,0.0072867165600474,0.4310369019222674,185707.0,224691.0,3.7,954,7900,6384,5225,0.3543,3.0,747.0649895178198,0.2912,0,0.0,0.0,0.2912,prime_whitespace
11,Sabah,Kota Kinabalu,12_7,547000.0,0.0225098641280721,0.4793418647166362,113507.0,112750.0,4.4,351,8388,5957,4427,0.43131,10.3,1558.4045584045584,0.2768,0,0.0,0.0,0.2768,prime_whitespace
12,W.P. Putrajaya,W.P. Putrajaya,16_1,120300.0,0.0244971326545579,0.3499584372402327,29699.0,38056.0,3.7,49,13473,10056,8897,0.3678,0.1,2455.1020408163267,0.2688,0,0.0,0.0,0.2688,prime_whitespace
13,Pulau Pinang,Seberang Perai Tengah,7_1,443200.0,0.0117305081389171,0.4433664259927798,106330.0,78402.0,3.9,238,8056,6220,5008,0.37729,2.4,1862.18487394958,0.2602,0,0.0,0.0,0.2602,prime_whitespace
14,Selangor,Sepang,10_7,346900.0,0.0162801446533837,0.4191409628134909,99778.0,127628.0,3.1,552,13673,12608,6976,0.22915,0.0,628.4420289855072,0.2544,0,0.0,0.0,0.2544,prime_whitespace
15,Kelantan,Kota Bharu,3_2,583800.0,0.0123632865760747,0.4426173347036656,115485.0,133413.0,4.5,403,5693,4330,3886,0.38399,10.5,1448.63523573201,0.2471,0,0.0,0.0,0.2471,prime_whitespace
16,Sarawak,Kuching,13_1,625300.0,0.0065425378941075,0.4197984967215736,142732.0,180026.0,4.3,1498,7588,5968,4687,0.37551,9.1,417.4232309746328,0.242,0,0.0,0.0,0.242,prime_whitespace
17,Pahang,Kuantan,6_4,571300.0,0.0104641651062324,0.4120427096096621,145270.0,154355.0,3.8,2960,6938,5926,4724,0.30639,4.1,193.00675675675677,0.2316,0,0.0,0.0,0.2316,prime_whitespace
18,Johor,Kulai,1_9,351400.0,0.0162173012318498,0.4615822424587364,77199.0,83756.0,3.7,756,9177,7460,5646,0.33673,0.4,464.8148148148149,0.2299,0,0.0,0.0,0.2299,prime_whitespace
19,Pulau Pinang,Barat Daya,7_5,248300.0,0.0109667785789833,0.4265002013693113,70167.0,89816.0,3.3,175,9254,7247,6003,0.35685,1.4,1418.857142857143,0.2283,0,0.0,0.0,0.2283,prime_whitespace
20,Kedah,Kuala Muda,2_4,571400.0,0.0118961264843482,0.431921596079804,131802.0,166581.0,3.9,913,5624,4200,3840,0.40406,13.8,625.8488499452355,0.2263,0,0.0,0.0,0.2263,prime_whitespace
21,Sabah,Sandakan,12_4,499400.0,0.0326930999081698,0.5090108129755707,82064.0,86134.0,5.3,2266,6030,4828,3315,0.34659,17.7,220.38834951456312,0.223,0,0.0,0.0,0.223,prime_whitespace
22,Johor,Batu Pahat,1_1,510400.0,0.0075360271015536,0.4416144200626959,116252.0,129486.0,4.0,1966,7419,6347,4570,0.3383,5.1,259.6134282807731,0.221,0,0.0,0.0,0.221,prime_whitespace
23,Melaka,Alor Gajah,4_1,260500.0,0.0109456773444449,0.4898272552783109,67558.0,71937.0,3.6,674,7235,5611,5338,0.34311,4.8,386.4985163204748,0.2129,0,0.0,0.0,0.2129,prime_whitespace
24,Pulau Pinang,Seberang Perai Utara,7_2,351000.0,0.0086600769533804,0.425071225071225,86971.0,117475.0,3.8,268,7330,6103,4432,0.34971,3.7,1309.7014925373137,0.2078,0,0.0,0.0,0.2078,prime_whitespace
25,Selangor,Kuala Langat,10_3,326300.0,0.0150286544938587,0.4091326999693533,79890.0,95799.0,3.7,855,11048,10093,5621,0.27733,0.3,381.6374269005848,0.2054,0,0.0,0.0,0.2054,prime_whitespace
26,Sabah,Tawau,12_1,413600.0,0.0264420134003795,0.5087040618955513,74388.0,78447.0,5.0,2240,6315,4783,3118,0.3881,14.4,184.64285714285717,0.1997,0,0.0,0.0,0.1997,prime_whitespace
27,Selangor,Kuala Selangor,10_4,298400.0,0.014502199517604,0.4185656836461126,76447.0,88913.0,3.9,1187,9410,7644,5543,0.34646,2.8,251.39005897219883,0.199,0,0.0,0.0,0.199,prime_whitespace
28,Kedah,Kota Setar,2_3,381800.0,0.005106436113959,0.4127815610267155,95942.0,109919.0,3.8,420,5959,4751,4253,0.34795,5.1,909.047619047619,0.1943,0,0.0,0.0,0.1943,prime_whitespace
